年份,X1_参与率,X2_报录比,X3_统考竞争度,X4_升学率_参考,PEEHI_原始,PEEHI_归一化,X1_参与率_归一化,X2_报录比_归一化,X3_统考竞争度_归一化,X1_参与率_权重,X2_报录比_权重,X3_统考竞争度_权重
2010,0.5427523644084153,2.9788135593220337,3.3097928436911483,0.1822042076819147,0.06148255777449458,4.315278678037647,0.1627868865425093,0.0,0.0,0.37768741131638606,0.31878336562695936,0.30352922305665453
2011,0.5403762248766182,3.1850758853288363,3.546948356807512,0.1696588226879336,0.14887817048435026,13.22552847272967,0.15812101840013595,0.1504830967848807,0.13569152878354973,0.37768741131638606,0.31878336562695936,0.30352922305665453
2012,0.5450057594207668,3.3481601293974927,3.740682177546871,0.1627776863584005,0.2238863553303517,20.87284214101563,0.16721172938511855,0.26946469928781835,0.24653878663457518,0.37768741131638606,0.31878336562695936,0.30352922305665453
2013,0.5500515673344376,3.376174947247266,3.78494623655914,0.16292152389286496,0.24183133451126698,22.702387607941247,0.17711984887131954,0.28990350955198274,0.27186502830028325,0.37768741131638606,0.31878336562695936,0.30352922305665453
2014,0.5038373659851192,3.1798853762248105,3.5729123390112174,0.15844513445427383,0.12508142955254206,10.799378012455227,0.08637207631188436,0.1466962497198565,0.1505471498578151,0.37768741131638606,0.31878336562695936,0.30352922305665453
2015,0.4598515312581917,3.0052852196099873,3.384646962233169,0.1530142724083504,0.01915642407782289,0.0,0.0,0.019312966620172893,0.04282873143972899,0.37768741131638606,0.31878336562695936,0.30352922305665453
2016,0.47279682024104625,3.101997896950578,3.504950495049505,0.15241687323702882,0.07214302334394622,5.402145720973498,0.025419808328021005,0.08987177135356414,0.11166192056277023,0.37768741131638606,0.31878336562695936,0.30352922305665453
2017,0.5231868063219707,3.4079348931841302,3.8945940709164892,0.1535201882431335,0.24833626478019738,23.365585127771517,0.12436729335714995,0.3130746582092614,0.3346014246684078,0.37768741131638606,0.31878336562695936,0.30352922305665453
2018,0.6152478052714845,3.295486014954306,3.7789774531597335,0.1866941029273387,0.27038062549406455,25.613075069594437,0.30514139201823376,0.2310351711463074,0.26844991332445756,0.37768741131638606,0.31878336562695936,0.30352922305665453
2019,0.7347054591149079,3.80327868852459,4.3714199577931865,0.19317686640521287,0.5799635313727165,57.17599840195005,0.5397124910517694,0.6015061898868319,0.60742339158648,0.37768741131638606,0.31878336562695936,0.30352922305665453
2020,0.8109200732443937,4.203130777764082,4.858934169278998,0.19293239161969988,0.8141486754285012,81.05188950269022,0.6893700912437437,0.8932268439178488,0.8863608187242514,0.37768741131638606,0.31878336562695936,0.30352922305665453
2021,0.8806415368479574,3.806158505805149,4.415553993909581,0.2313727963522286,0.6965299834767904,69.06030441827681,0.8262775209271618,0.6036072222515053,0.6326752390064623,0.37768741131638606,0.31878336562695936,0.30352922305665453
2022,0.9691114287289585,4.349481298182164,5.057547587428067,0.22281080485022245,0.9999999999999999,100.0,1.0,1.0,1.0,0.37768741131638606,0.31878336562695936,0.30352922305665453
2023,0.9678565448746482,4.12748171368861,4.79951397326853,0.23449081353038947,0.9026255194182036,90.07237413057979,0.9975358675196248,0.8380354492926398,0.8523628014261151,0.37768741131638606,0.31878336562695936,0.30352922305665453
2024,0.8555389309279277,3.6940204098844567,4.305514597463875,0.23160102977197344,0.6327220166855224,62.55488720827199,0.7769851928944587,0.5217944730771883,0.5697148054330262,0.37768741131638606,0.31878336562695936,0.30352922305665453
